Date,SENT_ORTHO_RISK,BWsent
198304,27.87605191,0.5
198305,29.8171742,0.43
198306,30.39191735,0.46
198307,30.16759809,0.58
198308,29.36890103,0.58
198309,28.23452138,0.71
198310,27.01787213,1.13
198311,26.5535388,1.34
198312,25.71480202,1.5
198401,26.04404848,1.82
198402,25.43397003,1.93
198403,25.12962952,1.91
198404,24.30963127,1.78
198405,23.8198194,2.02
198406,23.24562615,2.06
198407,21.89979717,2
198408,21.47617009,1.74
198409,20.78386516,1.71
198410,19.86447429,1.41
198411,18.57471151,1.4
198412,17.92098975,1.25
198501,19.15889658,1.16
198502,20.15486475,1.06
198503,19.85215847,0.99
198504,19.15910219,0.96
198505,18.26328152,0.87
198506,17.36470828,0.75
198507,17.50552361,0.67
198508,17.13440349,0.77
198509,16.11995005,0.74
198510,15.07641281,0.66
198511,14.699462,0.6
198512,14.07209935,0.65
198601,14.88836738,0.73
198602,14.45266357,0.62
198603,14.22976892,0.59
198604,14.73639366,0.53
198605,14.52911344,0.53
198606,14.14915562,0.48
198607,13.1529652,0.63
198608,12.01814158,0.62
198609,11.64802496,0.64
198610,11.12256631,0.66
198611,10.4562429,0.76
198612,9.712434246,0.78
198701,10.23113794,0.73
198702,11.15482756,0.63
198703,11.75393156,0.62
198704,12.00216072,0.62
198705,12.14961395,0.56
198706,11.62741786,0.52
198707,11.61901146,0.42
198708,10.91966104,0.36
198709,10.82480069,0.44
198710,8.929898168,0.36
198711,8.422773411,0.43
198712,7.365683471,0.14
198801,8.142175291,0.37
198802,8.106213769,0.37
198803,8.685102681,0.3
198804,8.86234736,0.23
198805,8.325215355,0.22
198806,8.088176723,0.18
198807,8.176646373,0.11
198808,7.950172739,0.11
198809,7.67499342,0.02
198810,7.048318942,0.01
198811,6.288550271,0.02
198812,6.367023705,-0.02
198901,7.160427472,-0.11
198902,7.335627174,-0.17
198903,7.44966431,-0.24
198904,7.612441404,-0.26
198905,7.715251206,-0.31
198906,7.458742895,-0.26
198907,6.947349768,-0.35
198908,6.819927531,-0.42
198909,7.222248421,-0.45
198910,7.11184563,-0.53
198911,6.702969518,-0.51
198912,6.420622613,-0.43
199001,7.010297388,-0.41
199002,7.433017581,-0.39
199003,7.964266672,-0.4
199004,8.446219556,-0.26
199005,8.665052881,-0.31
199006,9.311050764,-0.36
199007,9.57890325,-0.38
199008,9.208806667,-0.3
199009,9.228712959,-0.34
199010,8.831103057,-0.3
199011,8.124184295,-0.36
199012,7.075004831,-0.46
199101,8.479898164,-0.45
199102,10.25802075,-0.43
199103,12.17079338,-0.47
199104,13.03933688,-0.45
199105,12.91430537,-0.36
199106,12.80315955,-0.29
199107,12.76490913,-0.36
199108,13.01111617,-0.49
199109,13.62206258,-0.45
199110,14.0238555,-0.45
199111,14.20256029,-0.3
199112,12.7422871,-0.28
199201,16.75678717,-0.19
199202,17.69222807,-0.06
199203,17.56537054,0.07
199204,16.04099069,0.04
199205,15.58869043,0.01
199206,14.6247861,-0.04
199207,13.99629626,-0.02
199208,13.32957349,0.04
199209,13.18007441,0.08
199210,13.21583706,-0.04
199211,13.97531385,0.01
199212,14.00387499,0.08
